file,rounds,tjpgd full(us),zjpgd full(us),zjpgd rect(us),zjpgd central 1/4(us),zjpgd top left 1/4(us),zjpgd bottom right 1/4(us)
file samples/rgbw_64x29_420.jpg,20,1915,1841,1925,1815,1824,1805
file samples/rgbw_64x29_422.jpg,20,2272,2108,2033,1850,1821,1833
file samples/rgbw_64x29_444.jpg,20,1919,1855,1896,1858,1805,1813
file samples/rgbw_64x30_400.jpg,20,1981,1831,1859,1962,1950,1872
file samples/rgbw_64x30_420.jpg,20,1972,1861,1857,1850,1932,1904
file samples/rgbw_64x30_422.jpg,20,2008,1890,1943,1863,1841,1739
file samples/rgbw_64x30_444.jpg,20,2434,1927,1974,1884,1864,1962
file samples/rgbw_72x34_400.jpg,20,1992,1861,1868,1807,1760,1749
file samples/rgbw_72x34_420.jpg,20,2079,1983,1962,1817,1892,1825
file samples/rgbw_72x34_422.jpg,20,1993,1936,1951,1817,1785,1764
file samples/rgbw_72x34_444.jpg,20,1999,1938,1946,1831,2179,2030
file samples/rgbw_89x164_400.jpg,20,2343,2195,2251,1860,1906,1931
file samples/rgbw_89x164_420.jpg,20,2241,2440,2644,1996,1972,2004
file samples/rgbw_89x164_422.jpg,20,2298,2337,2604,2069,1973,1971
file samples/rgbw_89x164_444.jpg,20,2424,2391,2613,2014,2412,2024
file samples/rgbw_98x48_400.jpg,20,2026,1974,1988,1976,2052,1958
file samples/rgbw_98x48_420.jpg,20,2134,2030,2034,2046,1881,1801
file samples/rgbw_98x48_422.jpg,20,2184,1996,2047,1813,1770,1869
file samples/rgbw_98x48_444.jpg,20,2005,1982,2073,1875,1777,1686
